date,CAN_unscaled,CAN_monthly,isPartial,scale,CAN
2016-12-23,93,61.0,,0.61,56.73
2016-12-24,93,61.0,,0.61,56.73
2016-12-25,95,61.0,,0.61,57.949999999999996
2016-12-26,100,61.0,,0.61,61.0
2016-12-27,95,61.0,,0.61,57.949999999999996
2016-12-28,99,61.0,,0.61,60.39
2016-12-29,96,61.0,,0.61,58.56
2016-12-30,100,61.0,,0.61,61.0
2016-12-31,95,61.0,,0.61,57.949999999999996
2017-01-01,86,65.0,False,0.65,55.9
2017-01-02,92,65.0,,0.65,59.800000000000004
2017-01-03,90,65.0,,0.65,58.5
2017-01-04,89,65.0,,0.65,57.85
2017-01-05,94,65.0,,0.65,61.1
2017-01-06,87,65.0,,0.65,56.550000000000004
2017-01-07,93,65.0,,0.65,60.45
2017-01-08,94,65.0,,0.65,61.1
2017-01-09,85,65.0,,0.65,55.25
2017-01-10,86,65.0,,0.65,55.9
2017-01-11,90,65.0,,0.65,58.5
2017-01-12,89,65.0,,0.65,57.85
2017-01-13,90,65.0,,0.65,58.5
2017-01-14,92,65.0,,0.65,59.800000000000004
2017-01-15,94,65.0,,0.65,61.1
2017-01-16,92,65.0,,0.65,59.800000000000004
2017-01-17,90,65.0,,0.65,58.5
2017-01-18,90,65.0,,0.65,58.5
2017-01-19,91,65.0,,0.65,59.15
2017-01-20,83,65.0,,0.65,53.95
2017-01-21,90,65.0,,0.65,58.5
2017-01-22,95,65.0,,0.65,61.75
2017-01-23,87,65.0,,0.65,56.550000000000004
2017-01-24,95,65.0,,0.65,61.75
2017-01-25,93,65.0,,0.65,60.45
2017-01-26,94,65.0,,0.65,61.1
2017-01-27,89,65.0,,0.65,57.85
2017-01-28,98,65.0,,0.65,63.7
2017-01-29,100,65.0,,0.65,65.0
2017-01-30,88,65.0,,0.65,57.2
2017-01-31,95,65.0,,0.65,61.75
2017-02-01,93,67.0,False,0.67,62.31
2017-02-02,90,67.0,,0.67,60.300000000000004
2017-02-03,91,67.0,,0.67,60.970000000000006
2017-02-04,96,67.0,,0.67,64.32000000000001
2017-02-05,100,67.0,,0.67,67.0
2017-02-06,85,67.0,,0.67,56.95
2017-02-07,91,67.0,,0.67,60.970000000000006
2017-02-08,92,67.0,,0.67,61.64
2017-02-09,92,67.0,,0.67,61.64
2017-02-10,88,67.0,,0.67,58.96
2017-02-11,97,67.0,,0.67,64.99000000000001
2017-02-12,95,67.0,,0.67,63.650000000000006
2017-02-13,86,67.0,,0.67,57.620000000000005
2017-02-14,86,67.0,,0.67,57.620000000000005
2017-02-15,88,67.0,,0.67,58.96
2017-02-16,92,67.0,,0.67,61.64
2017-02-17,88,67.0,,0.67,58.96
2017-02-18,92,67.0,,0.67,61.64
2017-02-19,96,67.0,,0.67,64.32000000000001
2017-02-20,92,67.0,,0.67,61.64
2017-02-21,91,67.0,,0.67,60.970000000000006
2017-02-22,89,67.0,,0.67,59.63
2017-02-23,89,67.0,,0.67,59.63
2017-02-24,87,67.0,,0.67,58.290000000000006
2017-02-25,88,67.0,,0.67,58.96
2017-02-26,93,67.0,,0.67,62.31
2017-02-27,89,67.0,,0.67,59.63
2017-02-28,89,67.0,,0.67,59.63
2017-03-01,94,61.0,False,0.61,57.339999999999996
2017-03-02,96,61.0,,0.61,58.56
2017-03-03,92,61.0,,0.61,56.12
2017-03-04,94,61.0,,0.61,57.339999999999996
2017-03-05,100,61.0,,0.61,61.0
2017-03-06,95,61.0,,0.61,57.949999999999996
2017-03-07,95,61.0,,0.61,57.949999999999996
2017-03-08,95,61.0,,0.61,57.949999999999996
2017-03-09,94,61.0,,0.61,57.339999999999996
2017-03-10,89,61.0,,0.61,54.29
2017-03-11,94,61.0,,0.61,57.339999999999996
2017-03-12,96,61.0,,0.61,58.56
2017-03-13,94,61.0,,0.61,57.339999999999996
2017-03-14,91,61.0,,0.61,55.51
2017-03-15,96,61.0,,0.61,58.56
2017-03-16,93,61.0,,0.61,56.73
2017-03-17,92,61.0,,0.61,56.12
2017-03-18,89,61.0,,0.61,54.29
2017-03-19,99,61.0,,0.61,60.39
2017-03-20,95,61.0,,0.61,57.949999999999996
2017-03-21,96,61.0,,0.61,58.56
2017-03-22,94,61.0,,0.61,57.339999999999996
2017-03-23,94,61.0,,0.61,57.339999999999996
2017-03-24,90,61.0,,0.61,54.9
2017-03-25,95,61.0,,0.61,57.949999999999996
2017-03-26,100,61.0,,0.61,61.0
2017-03-27,95,61.0,,0.61,57.949999999999996
2017-03-28,98,61.0,,0.61,59.78
2017-03-29,95,61.0,,0.61,57.949999999999996
2017-03-30,94,61.0,,0.61,57.339999999999996
2017-03-31,90,61.0,,0.61,54.9
2017-04-01,92,62.0,False,0.62,57.04
2017-04-02,100,62.0,,0.62,62.0
2017-04-03,91,62.0,,0.62,56.42
2017-04-04,93,62.0,,0.62,57.66
2017-04-05,90,62.0,,0.62,55.8
2017-04-06,92,62.0,,0.62,57.04
2017-04-07,87,62.0,,0.62,53.94
2017-04-08,91,62.0,,0.62,56.42
2017-04-09,94,62.0,,0.62,58.28
2017-04-10,92,62.0,,0.62,57.04
2017-04-11,95,62.0,,0.62,58.9
2017-04-12,95,62.0,,0.62,58.9
2017-04-13,89,62.0,,0.62,55.18
2017-04-14,93,62.0,,0.62,57.66
2017-04-15,95,62.0,,0.62,58.9
2017-04-16,97,62.0,,0.62,60.14
2017-04-17,93,62.0,,0.62,57.66
2017-04-18,93,62.0,,0.62,57.66
2017-04-19,93,62.0,,0.62,57.66
2017-04-20,88,62.0,,0.62,54.56
2017-04-21,87,62.0,,0.62,53.94
2017-04-22,93,62.0,,0.62,57.66
2017-04-23,95,62.0,,0.62,58.9
2017-04-24,93,62.0,,0.62,57.66
2017-04-25,90,62.0,,0.62,55.8
2017-04-26,91,62.0,,0.62,56.42
2017-04-27,91,62.0,,0.62,56.42
2017-04-28,87,62.0,,0.62,53.94
2017-04-29,92,62.0,,0.62,57.04
2017-04-30,98,62.0,,0.62,60.76
2017-05-01,93,61.0,False,0.61,56.73
2017-05-02,94,61.0,,0.61,57.339999999999996
2017-05-03,97,61.0,,0.61,59.17
2017-05-04,93,61.0,,0.61,56.73
2017-05-05,90,61.0,,0.61,54.9
2017-05-06,96,61.0,,0.61,58.56
2017-05-07,99,61.0,,0.61,60.39
2017-05-08,93,61.0,,0.61,56.73
2017-05-09,91,61.0,,0.61,55.51
2017-05-10,93,61.0,,0.61,56.73
2017-05-11,94,61.0,,0.61,57.339999999999996
2017-05-12,90,61.0,,0.61,54.9
2017-05-13,96,61.0,,0.61,58.56
2017-05-14,95,61.0,,0.61,57.949999999999996
2017-05-15,92,61.0,,0.61,56.12
2017-05-16,93,61.0,,0.61,56.73
2017-05-17,93,61.0,,0.61,56.73
2017-05-18,93,61.0,,0.61,56.73
2017-05-19,88,61.0,,0.61,53.68
2017-05-20,96,61.0,,0.61,58.56
2017-05-21,97,61.0,,0.61,59.17
2017-05-22,93,61.0,,0.61,56.73
2017-05-23,92,61.0,,0.61,56.12
2017-05-24,90,61.0,,0.61,54.9
2017-05-25,94,61.0,,0.61,57.339999999999996
2017-05-26,92,61.0,,0.61,56.12
2017-05-27,98,61.0,,0.61,59.78
2017-05-28,100,61.0,,0.61,61.0
2017-05-29,100,61.0,,0.61,61.0
2017-05-30,93,61.0,,0.61,56.73
2017-05-31,95,61.0,,0.61,57.949999999999996
