date,EDIT_unscaled,EDIT_monthly,isPartial,scale,EDIT
2017-06-06,84,61.0,,0.61,51.24
2017-06-07,97,61.0,,0.61,59.17
2017-06-08,89,61.0,,0.61,54.29
2017-06-09,85,61.0,,0.61,51.85
2017-06-10,64,61.0,,0.61,39.04
2017-06-11,68,61.0,,0.61,41.48
2017-06-12,86,61.0,,0.61,52.46
2017-06-13,88,61.0,,0.61,53.68
2017-06-14,87,61.0,,0.61,53.07
2017-06-15,84,61.0,,0.61,51.24
2017-06-16,82,61.0,,0.61,50.019999999999996
2017-06-17,72,61.0,,0.61,43.92
2017-06-18,68,61.0,,0.61,41.48
2017-06-19,91,61.0,,0.61,55.51
2017-06-20,91,61.0,,0.61,55.51
2017-06-21,89,61.0,,0.61,54.29
2017-06-22,98,61.0,,0.61,59.78
2017-06-23,84,61.0,,0.61,51.24
2017-06-24,64,61.0,,0.61,39.04
2017-06-25,68,61.0,,0.61,41.48
2017-06-26,88,61.0,,0.61,53.68
2017-06-27,100,61.0,,0.61,61.0
2017-06-28,91,61.0,,0.61,55.51
2017-06-29,88,61.0,,0.61,53.68
2017-06-30,86,61.0,,0.61,52.46
2017-07-01,61,59.0,False,0.59,35.989999999999995
2017-07-02,61,59.0,,0.59,35.989999999999995
2017-07-03,78,59.0,,0.59,46.019999999999996
2017-07-04,73,59.0,,0.59,43.07
2017-07-05,84,59.0,,0.59,49.559999999999995
2017-07-06,90,59.0,,0.59,53.099999999999994
2017-07-07,82,59.0,,0.59,48.379999999999995
2017-07-08,61,59.0,,0.59,35.989999999999995
2017-07-09,70,59.0,,0.59,41.3
2017-07-10,89,59.0,,0.59,52.51
2017-07-11,90,59.0,,0.59,53.099999999999994
2017-07-12,92,59.0,,0.59,54.279999999999994
2017-07-13,88,59.0,,0.59,51.919999999999995
2017-07-14,85,59.0,,0.59,50.15
2017-07-15,71,59.0,,0.59,41.89
2017-07-16,61,59.0,,0.59,35.989999999999995
2017-07-17,87,59.0,,0.59,51.33
2017-07-18,92,59.0,,0.59,54.279999999999994
2017-07-19,88,59.0,,0.59,51.919999999999995
2017-07-20,88,59.0,,0.59,51.919999999999995
2017-07-21,88,59.0,,0.59,51.919999999999995
2017-07-22,65,59.0,,0.59,38.35
2017-07-23,66,59.0,,0.59,38.94
2017-07-24,94,59.0,,0.59,55.459999999999994
2017-07-25,100,59.0,,0.59,59.0
2017-07-26,89,59.0,,0.59,52.51
2017-07-27,89,59.0,,0.59,52.51
2017-07-28,83,59.0,,0.59,48.97
2017-07-29,66,59.0,,0.59,38.94
2017-07-30,70,59.0,,0.59,41.3
2017-07-31,80,59.0,,0.59,47.199999999999996
2017-08-01,86,61.0,False,0.61,52.46
2017-08-02,94,61.0,,0.61,57.339999999999996
2017-08-03,98,61.0,,0.61,59.78
2017-08-04,82,61.0,,0.61,50.019999999999996
2017-08-05,70,61.0,,0.61,42.699999999999996
2017-08-06,73,61.0,,0.61,44.53
2017-08-07,91,61.0,,0.61,55.51
2017-08-08,94,61.0,,0.61,57.339999999999996
2017-08-09,100,61.0,,0.61,61.0
2017-08-10,92,61.0,,0.61,56.12
2017-08-11,86,61.0,,0.61,52.46
2017-08-12,69,61.0,,0.61,42.089999999999996
2017-08-13,66,61.0,,0.61,40.26
2017-08-14,82,61.0,,0.61,50.019999999999996
2017-08-15,88,61.0,,0.61,53.68
2017-08-16,92,61.0,,0.61,56.12
2017-08-17,87,61.0,,0.61,53.07
2017-08-18,88,61.0,,0.61,53.68
2017-08-19,59,61.0,,0.61,35.99
2017-08-20,69,61.0,,0.61,42.089999999999996
2017-08-21,75,61.0,,0.61,45.75
2017-08-22,89,61.0,,0.61,54.29
2017-08-23,95,61.0,,0.61,57.949999999999996
2017-08-24,88,61.0,,0.61,53.68
2017-08-25,83,61.0,,0.61,50.629999999999995
2017-08-26,62,61.0,,0.61,37.82
2017-08-27,62,61.0,,0.61,37.82
2017-08-28,88,61.0,,0.61,53.68
2017-08-29,91,61.0,,0.61,55.51
2017-08-30,90,61.0,,0.61,54.9
2017-08-31,88,61.0,,0.61,53.68
2017-09-01,81,60.0,False,0.6,48.6
2017-09-02,62,60.0,,0.6,37.199999999999996
2017-09-03,66,60.0,,0.6,39.6
2017-09-04,72,60.0,,0.6,43.199999999999996
2017-09-05,83,60.0,,0.6,49.8
2017-09-06,91,60.0,,0.6,54.6
2017-09-07,84,60.0,,0.6,50.4
2017-09-08,83,60.0,,0.6,49.8
2017-09-09,62,60.0,,0.6,37.199999999999996
2017-09-10,59,60.0,,0.6,35.4
2017-09-11,83,60.0,,0.6,49.8
2017-09-12,87,60.0,,0.6,52.199999999999996
2017-09-13,94,60.0,,0.6,56.4
2017-09-14,99,60.0,,0.6,59.4
2017-09-15,88,60.0,,0.6,52.8
2017-09-16,67,60.0,,0.6,40.199999999999996
2017-09-17,68,60.0,,0.6,40.8
2017-09-18,85,60.0,,0.6,51.0
2017-09-19,98,60.0,,0.6,58.8
2017-09-20,100,60.0,,0.6,60.0
