date,TTWO_unscaled,TTWO_monthly,isPartial,scale,TTWO
2017-04-03,12,15.0,,0.15,1.7999999999999998
2017-04-04,70,15.0,,0.15,10.5
2017-04-05,47,15.0,,0.15,7.05
2017-04-06,71,15.0,,0.15,10.65
2017-04-07,49,15.0,,0.15,7.35
2017-04-08,44,15.0,,0.15,6.6
2017-04-09,0,15.0,,0.15,0.0
2017-04-10,12,15.0,,0.15,1.7999999999999998
2017-04-11,48,15.0,,0.15,7.199999999999999
2017-04-12,36,15.0,,0.15,5.3999999999999995
2017-04-13,12,15.0,,0.15,1.7999999999999998
2017-04-14,26,15.0,,0.15,3.9
2017-04-15,0,15.0,,0.15,0.0
2017-04-16,0,15.0,,0.15,0.0
2017-04-17,0,15.0,,0.15,0.0
2017-04-18,23,15.0,,0.15,3.4499999999999997
2017-04-19,59,15.0,,0.15,8.85
2017-04-20,71,15.0,,0.15,10.65
2017-04-21,100,15.0,,0.15,15.0
2017-04-22,0,15.0,,0.15,0.0
2017-04-23,29,15.0,,0.15,4.35
2017-04-24,23,15.0,,0.15,3.4499999999999997
2017-04-25,47,15.0,,0.15,7.05
2017-04-26,35,15.0,,0.15,5.25
2017-04-27,35,15.0,,0.15,5.25
2017-04-28,0,15.0,,0.15,0.0
2017-04-29,14,15.0,,0.15,2.1
2017-04-30,0,15.0,,0.15,0.0
2017-05-01,11,45.0,False,0.45,4.95
2017-05-02,19,45.0,,0.45,8.55
2017-05-03,11,45.0,,0.45,4.95
2017-05-04,6,45.0,,0.45,2.7
2017-05-05,15,45.0,,0.45,6.75
2017-05-06,21,45.0,,0.45,9.450000000000001
2017-05-07,10,45.0,,0.45,4.5
2017-05-08,0,45.0,,0.45,0.0
2017-05-09,14,45.0,,0.45,6.3
2017-05-10,28,45.0,,0.45,12.6
2017-05-11,29,45.0,,0.45,13.05
2017-05-12,21,45.0,,0.45,9.450000000000001
2017-05-13,7,45.0,,0.45,3.15
2017-05-14,4,45.0,,0.45,1.8
2017-05-15,9,45.0,,0.45,4.05
2017-05-16,3,45.0,,0.45,1.35
2017-05-17,9,45.0,,0.45,4.05
2017-05-18,6,45.0,,0.45,2.7
2017-05-19,19,45.0,,0.45,8.55
2017-05-20,0,45.0,,0.45,0.0
2017-05-21,7,45.0,,0.45,3.15
2017-05-22,52,45.0,,0.45,23.400000000000002
2017-05-23,100,45.0,,0.45,45.0
2017-05-24,67,45.0,,0.45,30.150000000000002
2017-05-25,68,45.0,,0.45,30.6
2017-05-26,46,45.0,,0.45,20.7
2017-05-27,4,45.0,,0.45,1.8
2017-05-28,8,45.0,,0.45,3.6
2017-05-29,11,45.0,,0.45,4.95
2017-05-30,27,45.0,,0.45,12.15
2017-05-31,27,45.0,,0.45,12.15
2017-06-01,59,33.0,False,0.33,19.470000000000002
2017-06-02,31,33.0,,0.33,10.23
2017-06-03,47,33.0,,0.33,15.510000000000002
2017-06-04,23,33.0,,0.33,7.590000000000001
2017-06-05,85,33.0,,0.33,28.05
2017-06-06,75,33.0,,0.33,24.75
2017-06-07,47,33.0,,0.33,15.510000000000002
2017-06-08,58,33.0,,0.33,19.14
2017-06-09,91,33.0,,0.33,30.03
2017-06-10,12,33.0,,0.33,3.96
2017-06-11,24,33.0,,0.33,7.92
2017-06-12,67,33.0,,0.33,22.11
2017-06-13,75,33.0,,0.33,24.75
2017-06-14,57,33.0,,0.33,18.810000000000002
2017-06-15,99,33.0,,0.33,32.67
2017-06-16,40,33.0,,0.33,13.200000000000001
2017-06-17,12,33.0,,0.33,3.96
2017-06-18,12,33.0,,0.33,3.96
2017-06-19,19,33.0,,0.33,6.2700000000000005
2017-06-20,18,33.0,,0.33,5.94
2017-06-21,56,33.0,,0.33,18.48
2017-06-22,74,33.0,,0.33,24.42
2017-06-23,56,33.0,,0.33,18.48
2017-06-24,0,33.0,,0.33,0.0
2017-06-25,24,33.0,,0.33,7.92
2017-06-26,39,33.0,,0.33,12.870000000000001
2017-06-27,100,33.0,,0.33,33.0
2017-06-28,10,33.0,,0.33,3.3000000000000003
2017-06-29,83,33.0,,0.33,27.39
2017-06-30,63,33.0,,0.33,20.790000000000003
2017-07-01,34,20.0,False,0.2,6.800000000000001
2017-07-02,35,20.0,,0.2,7.0
2017-07-03,31,20.0,,0.2,6.2
2017-07-04,34,20.0,,0.2,6.800000000000001
2017-07-05,61,20.0,,0.2,12.200000000000001
2017-07-06,71,20.0,,0.2,14.200000000000001
2017-07-07,44,20.0,,0.2,8.8
2017-07-08,33,20.0,,0.2,6.6000000000000005
2017-07-09,17,20.0,,0.2,3.4000000000000004
2017-07-10,28,20.0,,0.2,5.6000000000000005
2017-07-11,29,20.0,,0.2,5.800000000000001
2017-07-12,43,20.0,,0.2,8.6
2017-07-13,86,20.0,,0.2,17.2
2017-07-14,15,20.0,,0.2,3.0
2017-07-15,17,20.0,,0.2,3.4000000000000004
2017-07-16,0,20.0,,0.2,0.0
2017-07-17,72,20.0,,0.2,14.4
2017-07-18,100,20.0,,0.2,20.0
2017-07-19,72,20.0,,0.2,14.4
2017-07-20,42,20.0,,0.2,8.4
2017-07-21,29,20.0,,0.2,5.800000000000001
2017-07-22,33,20.0,,0.2,6.6000000000000005
2017-07-23,0,20.0,,0.2,0.0
2017-07-24,28,20.0,,0.2,5.6000000000000005
2017-07-25,57,20.0,,0.2,11.4
2017-07-26,70,20.0,,0.2,14.0
2017-07-27,42,20.0,,0.2,8.4
2017-07-28,72,20.0,,0.2,14.4
2017-07-29,33,20.0,,0.2,6.6000000000000005
2017-07-30,0,20.0,,0.2,0.0
2017-07-31,99,20.0,,0.2,19.8
2017-08-01,15,48.0,False,0.48,7.199999999999999
2017-08-02,100,48.0,,0.48,48.0
2017-08-03,98,48.0,,0.48,47.04
2017-08-04,45,48.0,,0.48,21.599999999999998
2017-08-05,18,48.0,,0.48,8.64
2017-08-06,26,48.0,,0.48,12.48
2017-08-07,39,48.0,,0.48,18.72
2017-08-08,24,48.0,,0.48,11.52
2017-08-09,31,48.0,,0.48,14.879999999999999
2017-08-10,13,48.0,,0.48,6.24
2017-08-11,19,48.0,,0.48,9.12
2017-08-12,0,48.0,,0.48,0.0
2017-08-13,11,48.0,,0.48,5.279999999999999
2017-08-14,13,48.0,,0.48,6.24
2017-08-15,19,48.0,,0.48,9.12
2017-08-16,16,48.0,,0.48,7.68
2017-08-17,16,48.0,,0.48,7.68
2017-08-18,13,48.0,,0.48,6.24
2017-08-19,0,48.0,,0.48,0.0
2017-08-20,0,48.0,,0.48,0.0
2017-08-21,18,48.0,,0.48,8.64
2017-08-22,15,48.0,,0.48,7.199999999999999
2017-08-23,28,48.0,,0.48,13.44
2017-08-24,21,48.0,,0.48,10.08
2017-08-25,28,48.0,,0.48,13.44
2017-08-26,4,48.0,,0.48,1.92
2017-08-27,3,48.0,,0.48,1.44
2017-08-28,25,48.0,,0.48,12.0
2017-08-29,21,48.0,,0.48,10.08
2017-08-30,18,48.0,,0.48,8.64
2017-08-31,15,48.0,,0.48,7.199999999999999
2017-09-01,27,39.0,False,0.39,10.530000000000001
2017-09-02,15,39.0,,0.39,5.8500000000000005
2017-09-03,8,39.0,,0.39,3.12
2017-09-04,14,39.0,,0.39,5.46
2017-09-05,37,39.0,,0.39,14.43
2017-09-06,42,39.0,,0.39,16.38
2017-09-07,49,39.0,,0.39,19.11
2017-09-08,62,39.0,,0.39,24.18
2017-09-09,7,39.0,,0.39,2.73
2017-09-10,0,39.0,,0.39,0.0
2017-09-11,56,39.0,,0.39,21.84
2017-09-12,62,39.0,,0.39,24.18
2017-09-13,50,39.0,,0.39,19.5
2017-09-14,25,39.0,,0.39,9.75
2017-09-15,19,39.0,,0.39,7.41
2017-09-16,23,39.0,,0.39,8.97
2017-09-17,30,39.0,,0.39,11.700000000000001
2017-09-18,80,39.0,,0.39,31.200000000000003
2017-09-19,56,39.0,,0.39,21.84
2017-09-20,68,39.0,,0.39,26.52
2017-09-21,63,39.0,,0.39,24.57
2017-09-22,45,39.0,,0.39,17.55
2017-09-23,15,39.0,,0.39,5.8500000000000005
2017-09-24,15,39.0,,0.39,5.8500000000000005
2017-09-25,44,39.0,,0.39,17.16
2017-09-26,100,39.0,,0.39,39.0
2017-09-27,82,39.0,,0.39,31.98
2017-09-28,25,39.0,,0.39,9.75
2017-09-29,77,39.0,,0.39,30.03
2017-09-30,15,39.0,,0.39,5.8500000000000005
2017-10-01,19,36.0,False,0.36,6.84
2017-10-02,41,36.0,,0.36,14.76
2017-10-03,42,36.0,,0.36,15.12
2017-10-04,16,36.0,,0.36,5.76
2017-10-05,27,36.0,,0.36,9.719999999999999
2017-10-06,38,36.0,,0.36,13.68
2017-10-07,19,36.0,,0.36,6.84
2017-10-08,12,36.0,,0.36,4.32
2017-10-09,47,36.0,,0.36,16.919999999999998
2017-10-10,52,36.0,,0.36,18.72
2017-10-11,100,36.0,,0.36,36.0
2017-10-12,59,36.0,,0.36,21.24
2017-10-13,44,36.0,,0.36,15.84
2017-10-14,0,36.0,,0.36,0.0
2017-10-15,0,36.0,,0.36,0.0
2017-10-16,16,36.0,,0.36,5.76
2017-10-17,27,36.0,,0.36,9.719999999999999
2017-10-18,32,36.0,,0.36,11.52
2017-10-19,22,36.0,,0.36,7.92
2017-10-20,17,36.0,,0.36,6.12
2017-10-21,7,36.0,,0.36,2.52
2017-10-22,13,36.0,,0.36,4.68
2017-10-23,58,36.0,,0.36,20.88
2017-10-24,37,36.0,,0.36,13.32
2017-10-25,42,36.0,,0.36,15.12
2017-10-26,27,36.0,,0.36,9.719999999999999
2017-10-27,28,36.0,,0.36,10.08
2017-10-28,26,36.0,,0.36,9.36
2017-10-29,6,36.0,,0.36,2.16
2017-10-30,26,36.0,,0.36,9.36
2017-10-31,65,36.0,,0.36,23.4
2017-11-01,9,56.0,False,0.56,5.040000000000001
2017-11-02,18,56.0,,0.56,10.080000000000002
2017-11-03,13,56.0,,0.56,7.280000000000001
2017-11-04,5,56.0,,0.56,2.8000000000000003
2017-11-05,5,56.0,,0.56,2.8000000000000003
2017-11-06,16,56.0,,0.56,8.96
2017-11-07,62,56.0,,0.56,34.720000000000006
2017-11-08,100,56.0,,0.56,56.00000000000001
2017-11-09,50,56.0,,0.56,28.000000000000004
2017-11-10,24,56.0,,0.56,13.440000000000001
2017-11-11,5,56.0,,0.56,2.8000000000000003
2017-11-12,7,56.0,,0.56,3.9200000000000004
2017-11-13,20,56.0,,0.56,11.200000000000001
2017-11-14,20,56.0,,0.56,11.200000000000001
2017-11-15,17,56.0,,0.56,9.520000000000001
2017-11-16,14,56.0,,0.56,7.840000000000001
2017-11-17,13,56.0,,0.56,7.280000000000001
2017-11-18,7,56.0,,0.56,3.9200000000000004
2017-11-19,0,56.0,,0.56,0.0
2017-11-20,25,56.0,,0.56,14.000000000000002
2017-11-21,13,56.0,,0.56,7.280000000000001
2017-11-22,9,56.0,,0.56,5.040000000000001
2017-11-23,7,56.0,,0.56,3.9200000000000004
2017-11-24,17,56.0,,0.56,9.520000000000001
2017-11-25,12,56.0,,0.56,6.720000000000001
2017-11-26,5,56.0,,0.56,2.8000000000000003
2017-11-27,12,56.0,,0.56,6.720000000000001
2017-11-28,18,56.0,,0.56,10.080000000000002
2017-11-29,26,56.0,,0.56,14.560000000000002
2017-11-30,27,56.0,,0.56,15.120000000000001
