date,MF_unscaled,MF_monthly,isPartial,scale,MF
2016-11-05,79,12.0,,0.12,9.48
2016-11-06,77,12.0,,0.12,9.24
2016-11-07,60,12.0,,0.12,7.199999999999999
2016-11-08,83,12.0,,0.12,9.959999999999999
2016-11-09,63,12.0,,0.12,7.56
2016-11-10,71,12.0,,0.12,8.52
2016-11-11,62,12.0,,0.12,7.4399999999999995
2016-11-12,72,12.0,,0.12,8.64
2016-11-13,83,12.0,,0.12,9.959999999999999
2016-11-14,80,12.0,,0.12,9.6
2016-11-15,67,12.0,,0.12,8.04
2016-11-16,74,12.0,,0.12,8.879999999999999
2016-11-17,70,12.0,,0.12,8.4
2016-11-18,82,12.0,,0.12,9.84
2016-11-19,72,12.0,,0.12,8.64
2016-11-20,89,12.0,,0.12,10.68
2016-11-21,82,12.0,,0.12,9.84
2016-11-22,73,12.0,,0.12,8.76
2016-11-23,81,12.0,,0.12,9.719999999999999
2016-11-24,53,12.0,,0.12,6.359999999999999
2016-11-25,56,12.0,,0.12,6.72
2016-11-26,70,12.0,,0.12,8.4
2016-11-27,70,12.0,,0.12,8.4
2016-11-28,75,12.0,,0.12,9.0
2016-11-29,69,12.0,,0.12,8.28
2016-11-30,69,12.0,,0.12,8.28
2016-12-01,61,12.0,False,0.12,7.319999999999999
2016-12-02,82,12.0,,0.12,9.84
2016-12-03,64,12.0,,0.12,7.68
2016-12-04,79,12.0,,0.12,9.48
2016-12-05,92,12.0,,0.12,11.04
2016-12-06,66,12.0,,0.12,7.92
2016-12-07,78,12.0,,0.12,9.36
2016-12-08,82,12.0,,0.12,9.84
2016-12-09,96,12.0,,0.12,11.52
2016-12-10,75,12.0,,0.12,9.0
2016-12-11,87,12.0,,0.12,10.44
2016-12-12,78,12.0,,0.12,9.36
2016-12-13,66,12.0,,0.12,7.92
2016-12-14,68,12.0,,0.12,8.16
2016-12-15,98,12.0,,0.12,11.76
2016-12-16,100,12.0,,0.12,12.0
2016-12-17,90,12.0,,0.12,10.799999999999999
2016-12-18,71,12.0,,0.12,8.52
2016-12-19,78,12.0,,0.12,9.36
2016-12-20,81,12.0,,0.12,9.719999999999999
2016-12-21,83,12.0,,0.12,9.959999999999999
2016-12-22,86,12.0,,0.12,10.32
2016-12-23,72,12.0,,0.12,8.64
2016-12-24,83,12.0,,0.12,9.959999999999999
2016-12-25,58,12.0,,0.12,6.96
2016-12-26,64,12.0,,0.12,7.68
2016-12-27,76,12.0,,0.12,9.12
2016-12-28,84,12.0,,0.12,10.08
2016-12-29,68,12.0,,0.12,8.16
2016-12-30,72,12.0,,0.12,8.64
2016-12-31,60,12.0,,0.12,7.199999999999999
2017-01-01,75,12.0,False,0.12,9.0
2017-01-02,87,12.0,,0.12,10.44
2017-01-03,80,12.0,,0.12,9.6
2017-01-04,64,12.0,,0.12,7.68
2017-01-05,76,12.0,,0.12,9.12
2017-01-06,89,12.0,,0.12,10.68
2017-01-07,84,12.0,,0.12,10.08
2017-01-08,85,12.0,,0.12,10.2
2017-01-09,89,12.0,,0.12,10.68
2017-01-10,100,12.0,,0.12,12.0
2017-01-11,87,12.0,,0.12,10.44
2017-01-12,65,12.0,,0.12,7.8
2017-01-13,96,12.0,,0.12,11.52
2017-01-14,78,12.0,,0.12,9.36
2017-01-15,83,12.0,,0.12,9.959999999999999
2017-01-16,89,12.0,,0.12,10.68
2017-01-17,86,12.0,,0.12,10.32
2017-01-18,78,12.0,,0.12,9.36
2017-01-19,86,12.0,,0.12,10.32
2017-01-20,83,12.0,,0.12,9.959999999999999
2017-01-21,90,12.0,,0.12,10.799999999999999
