date,ACB_unscaled,ACB_monthly,isPartial,scale,ACB
2017-02-18,77,4.0,,0.04,3.08
2017-02-19,22,4.0,,0.04,0.88
2017-02-20,61,4.0,,0.04,2.44
2017-02-21,81,4.0,,0.04,3.24
2017-02-22,69,4.0,,0.04,2.7600000000000002
2017-02-23,53,4.0,,0.04,2.12
2017-02-24,24,4.0,,0.04,0.96
2017-02-25,21,4.0,,0.04,0.84
2017-02-26,47,4.0,,0.04,1.8800000000000001
2017-02-27,76,4.0,,0.04,3.04
2017-02-28,83,4.0,,0.04,3.3200000000000003
2017-03-01,62,4.0,False,0.04,2.48
2017-03-02,60,4.0,,0.04,2.4
2017-03-03,54,4.0,,0.04,2.16
2017-03-04,42,4.0,,0.04,1.68
2017-03-05,42,4.0,,0.04,1.68
2017-03-06,79,4.0,,0.04,3.16
2017-03-07,66,4.0,,0.04,2.64
2017-03-08,57,4.0,,0.04,2.2800000000000002
2017-03-09,26,4.0,,0.04,1.04
2017-03-10,45,4.0,,0.04,1.8
2017-03-11,100,4.0,,0.04,4.0
2017-03-12,35,4.0,,0.04,1.4000000000000001
2017-03-13,70,4.0,,0.04,2.8000000000000003
2017-03-14,66,4.0,,0.04,2.64
2017-03-15,49,4.0,,0.04,1.96
2017-03-16,49,4.0,,0.04,1.96
2017-03-17,19,4.0,,0.04,0.76
2017-03-18,21,4.0,,0.04,0.84
2017-03-19,16,4.0,,0.04,0.64
2017-03-20,53,4.0,,0.04,2.12
2017-03-21,27,4.0,,0.04,1.08
2017-03-22,22,4.0,,0.04,0.88
2017-03-23,59,4.0,,0.04,2.36
2017-03-24,41,4.0,,0.04,1.6400000000000001
2017-03-25,21,4.0,,0.04,0.84
2017-03-26,11,4.0,,0.04,0.44
2017-03-27,40,4.0,,0.04,1.6
2017-03-28,36,4.0,,0.04,1.44
2017-03-29,40,4.0,,0.04,1.6
2017-03-30,36,4.0,,0.04,1.44
2017-03-31,45,4.0,,0.04,1.8
2017-04-01,47,3.0,False,0.03,1.41
2017-04-02,23,3.0,,0.03,0.69
2017-04-03,57,3.0,,0.03,1.71
2017-04-04,64,3.0,,0.03,1.92
2017-04-05,57,3.0,,0.03,1.71
2017-04-06,77,3.0,,0.03,2.31
2017-04-07,53,3.0,,0.03,1.5899999999999999
2017-04-08,8,3.0,,0.03,0.24
2017-04-09,24,3.0,,0.03,0.72
2017-04-10,71,3.0,,0.03,2.13
2017-04-11,72,3.0,,0.03,2.16
2017-04-12,52,3.0,,0.03,1.56
2017-04-13,73,3.0,,0.03,2.19
2017-04-14,21,3.0,,0.03,0.63
2017-04-15,56,3.0,,0.03,1.68
2017-04-16,50,3.0,,0.03,1.5
2017-04-17,65,3.0,,0.03,1.95
2017-04-18,95,3.0,,0.03,2.85
2017-04-19,70,3.0,,0.03,2.1
2017-04-20,58,3.0,,0.03,1.74
2017-04-21,68,3.0,,0.03,2.04
2017-04-22,47,3.0,,0.03,1.41
2017-04-23,39,3.0,,0.03,1.17
2017-04-24,64,3.0,,0.03,1.92
2017-04-25,64,3.0,,0.03,1.92
2017-04-26,100,3.0,,0.03,3.0
2017-04-27,45,3.0,,0.03,1.3499999999999999
2017-04-28,33,3.0,,0.03,0.99
2017-04-29,0,3.0,,0.03,0.0
2017-04-30,23,3.0,,0.03,0.69
2017-05-01,57,3.0,False,0.03,1.71
2017-05-02,74,3.0,,0.03,2.2199999999999998
2017-05-03,58,3.0,,0.03,1.74
2017-05-04,48,3.0,,0.03,1.44
2017-05-05,37,3.0,,0.03,1.1099999999999999
2017-05-06,29,3.0,,0.03,0.87
2017-05-07,29,3.0,,0.03,0.87
2017-05-08,89,3.0,,0.03,2.67
2017-05-09,35,3.0,,0.03,1.05
2017-05-10,24,3.0,,0.03,0.72
2017-05-11,60,3.0,,0.03,1.7999999999999998
2017-05-12,75,3.0,,0.03,2.25
2017-05-13,22,3.0,,0.03,0.6599999999999999
2017-05-14,83,3.0,,0.03,2.4899999999999998
2017-05-15,44,3.0,,0.03,1.3199999999999998
2017-05-16,69,3.0,,0.03,2.07
2017-05-17,44,3.0,,0.03,1.3199999999999998
2017-05-18,76,3.0,,0.03,2.28
2017-05-19,52,3.0,,0.03,1.56
2017-05-20,39,3.0,,0.03,1.17
2017-05-21,46,3.0,,0.03,1.38
2017-05-22,89,3.0,,0.03,2.67
2017-05-23,43,3.0,,0.03,1.29
2017-05-24,70,3.0,,0.03,2.1
2017-05-25,32,3.0,,0.03,0.96
2017-05-26,76,3.0,,0.03,2.28
2017-05-27,57,3.0,,0.03,1.71
2017-05-28,33,3.0,,0.03,0.99
2017-05-29,67,3.0,,0.03,2.01
2017-05-30,82,3.0,,0.03,2.46
2017-05-31,100,3.0,,0.03,3.0
2017-06-01,48,4.0,False,0.04,1.92
2017-06-02,51,4.0,,0.04,2.04
2017-06-03,45,4.0,,0.04,1.8
2017-06-04,69,4.0,,0.04,2.7600000000000002
2017-06-05,78,4.0,,0.04,3.12
2017-06-06,31,4.0,,0.04,1.24
2017-06-07,47,4.0,,0.04,1.8800000000000001
2017-06-08,47,4.0,,0.04,1.8800000000000001
