date,PYPL_unscaled,PYPL_monthly,isPartial,scale,PYPL
2017-12-31,10,20.0,,0.2,2.0
2018-01-01,7,25.0,False,0.25,1.75
2018-01-02,17,25.0,,0.25,4.25
2018-01-03,28,25.0,,0.25,7.0
2018-01-04,42,25.0,,0.25,10.5
2018-01-05,41,25.0,,0.25,10.25
2018-01-06,11,25.0,,0.25,2.75
2018-01-07,9,25.0,,0.25,2.25
2018-01-08,37,25.0,,0.25,9.25
2018-01-09,23,25.0,,0.25,5.75
2018-01-10,25,25.0,,0.25,6.25
2018-01-11,43,25.0,,0.25,10.75
2018-01-12,34,25.0,,0.25,8.5
2018-01-13,16,25.0,,0.25,4.0
2018-01-14,6,25.0,,0.25,1.5
2018-01-15,4,25.0,,0.25,1.0
2018-01-16,36,25.0,,0.25,9.0
2018-01-17,45,25.0,,0.25,11.25
2018-01-18,51,25.0,,0.25,12.75
2018-01-19,34,25.0,,0.25,8.5
2018-01-20,14,25.0,,0.25,3.5
2018-01-21,9,25.0,,0.25,2.25
2018-01-22,48,25.0,,0.25,12.0
2018-01-23,34,25.0,,0.25,8.5
2018-01-24,35,25.0,,0.25,8.75
2018-01-25,41,25.0,,0.25,10.25
2018-01-26,35,25.0,,0.25,8.75
2018-01-27,10,25.0,,0.25,2.5
2018-01-28,5,25.0,,0.25,1.25
2018-01-29,37,25.0,,0.25,9.25
2018-01-30,29,25.0,,0.25,7.25
2018-01-31,100,25.0,,0.25,25.0
2018-02-01,100,35.0,False,0.35,35.0
2018-02-02,49,35.0,,0.35,17.15
2018-02-03,9,35.0,,0.35,3.15
2018-02-04,5,35.0,,0.35,1.75
2018-02-05,21,35.0,,0.35,7.35
2018-02-06,35,35.0,,0.35,12.25
2018-02-07,26,35.0,,0.35,9.1
2018-02-08,14,35.0,,0.35,4.8999999999999995
2018-02-09,19,35.0,,0.35,6.6499999999999995
2018-02-10,8,35.0,,0.35,2.8
2018-02-11,3,35.0,,0.35,1.0499999999999998
2018-02-12,12,35.0,,0.35,4.199999999999999
2018-02-13,16,35.0,,0.35,5.6
2018-02-14,18,35.0,,0.35,6.3
2018-02-15,24,35.0,,0.35,8.399999999999999
2018-02-16,13,35.0,,0.35,4.55
2018-02-17,4,35.0,,0.35,1.4
2018-02-18,2,35.0,,0.35,0.7
2018-02-19,2,35.0,,0.35,0.7
2018-02-20,16,35.0,,0.35,5.6
2018-02-21,15,35.0,,0.35,5.25
2018-02-22,13,35.0,,0.35,4.55
2018-02-23,16,35.0,,0.35,5.6
2018-02-24,3,35.0,,0.35,1.0499999999999998
2018-02-25,3,35.0,,0.35,1.0499999999999998
2018-02-26,15,35.0,,0.35,5.25
2018-02-27,14,35.0,,0.35,4.8999999999999995
2018-02-28,22,35.0,,0.35,7.699999999999999
2018-03-01,68,20.0,False,0.2,13.600000000000001
2018-03-02,80,20.0,,0.2,16.0
2018-03-03,12,20.0,,0.2,2.4000000000000004
2018-03-04,19,20.0,,0.2,3.8000000000000003
2018-03-05,86,20.0,,0.2,17.2
2018-03-06,74,20.0,,0.2,14.8
2018-03-07,73,20.0,,0.2,14.600000000000001
2018-03-08,70,20.0,,0.2,14.0
2018-03-09,80,20.0,,0.2,16.0
2018-03-10,23,20.0,,0.2,4.6000000000000005
2018-03-11,11,20.0,,0.2,2.2
2018-03-12,57,20.0,,0.2,11.4
2018-03-13,48,20.0,,0.2,9.600000000000001
2018-03-14,94,20.0,,0.2,18.8
2018-03-15,89,20.0,,0.2,17.8
2018-03-16,86,20.0,,0.2,17.2
2018-03-17,15,20.0,,0.2,3.0
2018-03-18,0,20.0,,0.2,0.0
2018-03-19,48,20.0,,0.2,9.600000000000001
2018-03-20,63,20.0,,0.2,12.600000000000001
2018-03-21,87,20.0,,0.2,17.400000000000002
2018-03-22,79,20.0,,0.2,15.8
2018-03-23,91,20.0,,0.2,18.2
2018-03-24,20,20.0,,0.2,4.0
2018-03-25,16,20.0,,0.2,3.2
2018-03-26,86,20.0,,0.2,17.2
2018-03-27,85,20.0,,0.2,17.0
2018-03-28,100,20.0,,0.2,20.0
2018-03-29,92,20.0,,0.2,18.400000000000002
2018-03-30,25,20.0,,0.2,5.0
2018-03-31,16,20.0,,0.2,3.2
2018-04-01,8,21.0,False,0.21,1.68
2018-04-02,26,21.0,,0.21,5.46
2018-04-03,30,21.0,,0.21,6.3
2018-04-04,46,21.0,,0.21,9.66
2018-04-05,30,21.0,,0.21,6.3
2018-04-06,38,21.0,,0.21,7.9799999999999995
2018-04-07,8,21.0,,0.21,1.68
2018-04-08,4,21.0,,0.21,0.84
2018-04-09,42,21.0,,0.21,8.82
2018-04-10,49,21.0,,0.21,10.29
2018-04-11,35,21.0,,0.21,7.35
2018-04-12,48,21.0,,0.21,10.08
2018-04-13,38,21.0,,0.21,7.9799999999999995
2018-04-14,4,21.0,,0.21,0.84
2018-04-15,6,21.0,,0.21,1.26
2018-04-16,23,21.0,,0.21,4.83
2018-04-17,45,21.0,,0.21,9.45
2018-04-18,41,21.0,,0.21,8.61
2018-04-19,32,21.0,,0.21,6.72
2018-04-20,28,21.0,,0.21,5.88
2018-04-21,19,21.0,,0.21,3.9899999999999998
2018-04-22,2,21.0,,0.21,0.42
2018-04-23,28,21.0,,0.21,5.88
2018-04-24,50,21.0,,0.21,10.5
2018-04-25,100,21.0,,0.21,21.0
2018-04-26,98,21.0,,0.21,20.58
2018-04-27,51,21.0,,0.21,10.709999999999999
2018-04-28,12,21.0,,0.21,2.52
2018-04-29,6,21.0,,0.21,1.26
2018-04-30,22,21.0,,0.21,4.62
2018-05-01,45,24.0,False,0.24,10.799999999999999
2018-05-02,74,24.0,,0.24,17.759999999999998
2018-05-03,53,24.0,,0.24,12.719999999999999
2018-05-04,58,24.0,,0.24,13.92
2018-05-05,18,24.0,,0.24,4.32
2018-05-06,9,24.0,,0.24,2.16
2018-05-07,47,24.0,,0.24,11.28
2018-05-08,49,24.0,,0.24,11.76
2018-05-09,34,24.0,,0.24,8.16
2018-05-10,51,24.0,,0.24,12.24
2018-05-11,52,24.0,,0.24,12.48
2018-05-12,27,24.0,,0.24,6.4799999999999995
2018-05-13,11,24.0,,0.24,2.6399999999999997
2018-05-14,51,24.0,,0.24,12.24
2018-05-15,26,24.0,,0.24,6.24
2018-05-16,40,24.0,,0.24,9.6
2018-05-17,72,24.0,,0.24,17.28
2018-05-18,100,24.0,,0.24,24.0
2018-05-19,22,24.0,,0.24,5.279999999999999
2018-05-20,13,24.0,,0.24,3.12
2018-05-21,54,24.0,,0.24,12.959999999999999
2018-05-22,46,24.0,,0.24,11.04
2018-05-23,45,24.0,,0.24,10.799999999999999
2018-05-24,61,24.0,,0.24,14.639999999999999
2018-05-25,42,24.0,,0.24,10.08
2018-05-26,14,24.0,,0.24,3.36
2018-05-27,2,24.0,,0.24,0.48
2018-05-28,4,24.0,,0.24,0.96
2018-05-29,34,24.0,,0.24,8.16
2018-05-30,50,24.0,,0.24,12.0
2018-05-31,44,24.0,,0.24,10.559999999999999
2018-06-01,56,21.0,False,0.21,11.76
2018-06-02,37,21.0,,0.21,7.77
2018-06-03,11,21.0,,0.21,2.31
2018-06-04,73,21.0,,0.21,15.33
2018-06-05,61,21.0,,0.21,12.809999999999999
2018-06-06,80,21.0,,0.21,16.8
2018-06-07,62,21.0,,0.21,13.02
2018-06-08,73,21.0,,0.21,15.33
2018-06-09,22,21.0,,0.21,4.62
2018-06-10,11,21.0,,0.21,2.31
2018-06-11,45,21.0,,0.21,9.45
2018-06-12,65,21.0,,0.21,13.65
2018-06-13,88,21.0,,0.21,18.48
2018-06-14,77,21.0,,0.21,16.169999999999998
2018-06-15,71,21.0,,0.21,14.91
2018-06-16,15,21.0,,0.21,3.15
2018-06-17,19,21.0,,0.21,3.9899999999999998
2018-06-18,59,21.0,,0.21,12.389999999999999
2018-06-19,79,21.0,,0.21,16.59
2018-06-20,92,21.0,,0.21,19.32
2018-06-21,100,21.0,,0.21,21.0
2018-06-22,88,21.0,,0.21,18.48
2018-06-23,18,21.0,,0.21,3.78
2018-06-24,15,21.0,,0.21,3.15
2018-06-25,58,21.0,,0.21,12.18
2018-06-26,63,21.0,,0.21,13.229999999999999
2018-06-27,71,21.0,,0.21,14.91
2018-06-28,69,21.0,,0.21,14.49
2018-06-29,49,21.0,,0.21,10.29
2018-06-30,15,21.0,,0.21,3.15
2018-07-01,6,31.0,False,0.31,1.8599999999999999
2018-07-02,19,31.0,,0.31,5.89
2018-07-03,17,31.0,,0.31,5.27
2018-07-04,7,31.0,,0.31,2.17
2018-07-05,13,31.0,,0.31,4.03
2018-07-06,15,31.0,,0.31,4.65
2018-07-07,1,31.0,,0.31,0.31
2018-07-08,1,31.0,,0.31,0.31
2018-07-09,25,31.0,,0.31,7.75
2018-07-10,20,31.0,,0.31,6.2
2018-07-11,24,31.0,,0.31,7.4399999999999995
2018-07-12,33,31.0,,0.31,10.23
2018-07-13,22,31.0,,0.31,6.82
2018-07-14,6,31.0,,0.31,1.8599999999999999
2018-07-15,1,31.0,,0.31,0.31
2018-07-16,31,31.0,,0.31,9.61
2018-07-17,23,31.0,,0.31,7.13
2018-07-18,18,31.0,,0.31,5.58
2018-07-19,17,31.0,,0.31,5.27
2018-07-20,25,31.0,,0.31,7.75
2018-07-21,6,31.0,,0.31,1.8599999999999999
2018-07-22,2,31.0,,0.31,0.62
2018-07-23,36,31.0,,0.31,11.16
2018-07-24,59,31.0,,0.31,18.29
2018-07-25,100,31.0,,0.31,31.0
2018-07-26,70,31.0,,0.31,21.7
2018-07-27,43,31.0,,0.31,13.33
2018-07-28,8,31.0,,0.31,2.48
2018-07-29,7,31.0,,0.31,2.17
2018-07-30,32,31.0,,0.31,9.92
2018-07-31,43,31.0,,0.31,13.33
2018-08-01,60,22.0,False,0.22,13.2
2018-08-02,100,22.0,,0.22,22.0
2018-08-03,65,22.0,,0.22,14.3
2018-08-04,11,22.0,,0.22,2.42
2018-08-05,11,22.0,,0.22,2.42
2018-08-06,47,22.0,,0.22,10.34
2018-08-07,69,22.0,,0.22,15.18
2018-08-08,58,22.0,,0.22,12.76
2018-08-09,67,22.0,,0.22,14.74
2018-08-10,37,22.0,,0.22,8.14
2018-08-11,6,22.0,,0.22,1.32
2018-08-12,6,22.0,,0.22,1.32
2018-08-13,52,22.0,,0.22,11.44
2018-08-14,68,22.0,,0.22,14.96
2018-08-15,56,22.0,,0.22,12.32
2018-08-16,54,22.0,,0.22,11.88
2018-08-17,42,22.0,,0.22,9.24
2018-08-18,9,22.0,,0.22,1.98
2018-08-19,3,22.0,,0.22,0.66
2018-08-20,62,22.0,,0.22,13.64
2018-08-21,43,22.0,,0.22,9.46
2018-08-22,31,22.0,,0.22,6.82
2018-08-23,69,22.0,,0.22,15.18
2018-08-24,69,22.0,,0.22,15.18
2018-08-25,29,22.0,,0.22,6.38
2018-08-26,8,22.0,,0.22,1.76
2018-08-27,76,22.0,,0.22,16.72
2018-08-28,45,22.0,,0.22,9.9
2018-08-29,80,22.0,,0.22,17.6
2018-08-30,86,22.0,,0.22,18.92
2018-08-31,49,22.0,,0.22,10.78
2018-09-01,17,20.0,False,0.2,3.4000000000000004
2018-09-02,7,20.0,,0.2,1.4000000000000001
2018-09-03,20,20.0,,0.2,4.0
2018-09-04,64,20.0,,0.2,12.8
2018-09-05,100,20.0,,0.2,20.0
2018-09-06,98,20.0,,0.2,19.6
2018-09-07,57,20.0,,0.2,11.4
2018-09-08,13,20.0,,0.2,2.6
2018-09-09,13,20.0,,0.2,2.6
2018-09-10,57,20.0,,0.2,11.4
2018-09-11,68,20.0,,0.2,13.600000000000001
2018-09-12,86,20.0,,0.2,17.2
2018-09-13,77,20.0,,0.2,15.4
2018-09-14,72,20.0,,0.2,14.4
2018-09-15,3,20.0,,0.2,0.6000000000000001
2018-09-16,13,20.0,,0.2,2.6
2018-09-17,94,20.0,,0.2,18.8
2018-09-18,79,20.0,,0.2,15.8
2018-09-19,53,20.0,,0.2,10.600000000000001
2018-09-20,55,20.0,,0.2,11.0
2018-09-21,76,20.0,,0.2,15.200000000000001
2018-09-22,7,20.0,,0.2,1.4000000000000001
2018-09-23,14,20.0,,0.2,2.8000000000000003
2018-09-24,68,20.0,,0.2,13.600000000000001
2018-09-25,57,20.0,,0.2,11.4
2018-09-26,62,20.0,,0.2,12.4
2018-09-27,84,20.0,,0.2,16.8
2018-09-28,53,20.0,,0.2,10.600000000000001
2018-09-29,14,20.0,,0.2,2.8000000000000003
2018-09-30,10,20.0,,0.2,2.0
2018-10-01,16,32.0,False,0.32,5.12
2018-10-02,19,32.0,,0.32,6.08
2018-10-03,20,32.0,,0.32,6.4
2018-10-04,15,32.0,,0.32,4.8
2018-10-05,10,32.0,,0.32,3.2
2018-10-06,3,32.0,,0.32,0.96
2018-10-07,4,32.0,,0.32,1.28
2018-10-08,17,32.0,,0.32,5.44
2018-10-09,28,32.0,,0.32,8.96
2018-10-10,25,32.0,,0.32,8.0
2018-10-11,35,32.0,,0.32,11.200000000000001
2018-10-12,16,32.0,,0.32,5.12
2018-10-13,5,32.0,,0.32,1.6
2018-10-14,7,32.0,,0.32,2.24
2018-10-15,20,32.0,,0.32,6.4
2018-10-16,29,32.0,,0.32,9.28
2018-10-17,29,32.0,,0.32,9.28
2018-10-18,97,32.0,,0.32,31.04
2018-10-19,100,32.0,,0.32,32.0
2018-10-20,16,32.0,,0.32,5.12
2018-10-21,4,32.0,,0.32,1.28
2018-10-22,27,32.0,,0.32,8.64
2018-10-23,34,32.0,,0.32,10.88
2018-10-24,29,32.0,,0.32,9.28
2018-10-25,25,32.0,,0.32,8.0
2018-10-26,18,32.0,,0.32,5.76
2018-10-27,5,32.0,,0.32,1.6
2018-10-28,4,32.0,,0.32,1.28
2018-10-29,21,32.0,,0.32,6.72
2018-10-30,16,32.0,,0.32,5.12
2018-10-31,24,32.0,,0.32,7.68
2018-11-01,99,19.0,False,0.19,18.81
2018-11-02,73,19.0,,0.19,13.870000000000001
2018-11-03,18,19.0,,0.19,3.42
2018-11-04,10,19.0,,0.19,1.9
2018-11-05,53,19.0,,0.19,10.07
2018-11-06,59,19.0,,0.19,11.21
2018-11-07,55,19.0,,0.19,10.45
2018-11-08,79,19.0,,0.19,15.01
2018-11-09,61,19.0,,0.19,11.59
2018-11-10,14,19.0,,0.19,2.66
2018-11-11,7,19.0,,0.19,1.33
2018-11-12,33,19.0,,0.19,6.2700000000000005
2018-11-13,50,19.0,,0.19,9.5
2018-11-14,63,19.0,,0.19,11.97
2018-11-15,48,19.0,,0.19,9.120000000000001
2018-11-16,74,19.0,,0.19,14.06
2018-11-17,18,19.0,,0.19,3.42
2018-11-18,25,19.0,,0.19,4.75
2018-11-19,47,19.0,,0.19,8.93
2018-11-20,100,19.0,,0.19,19.0
2018-11-21,79,19.0,,0.19,15.01
2018-11-22,14,19.0,,0.19,2.66
2018-11-23,37,19.0,,0.19,7.03
2018-11-24,10,19.0,,0.19,1.9
2018-11-25,17,19.0,,0.19,3.23
2018-11-26,47,19.0,,0.19,8.93
2018-11-27,75,19.0,,0.19,14.25
2018-11-28,100,19.0,,0.19,19.0
2018-11-29,77,19.0,,0.19,14.63
2018-11-30,68,19.0,,0.19,12.92
2018-12-01,11,15.0,False,0.15,1.65
2018-12-02,26,15.0,,0.15,3.9
2018-12-03,65,15.0,,0.15,9.75
2018-12-04,72,15.0,,0.15,10.799999999999999
2018-12-05,29,15.0,,0.15,4.35
2018-12-06,70,15.0,,0.15,10.5
2018-12-07,44,15.0,,0.15,6.6
2018-12-08,16,15.0,,0.15,2.4
2018-12-09,4,15.0,,0.15,0.6
2018-12-10,59,15.0,,0.15,8.85
2018-12-11,47,15.0,,0.15,7.05
2018-12-12,70,15.0,,0.15,10.5
2018-12-13,100,15.0,,0.15,15.0
2018-12-14,59,15.0,,0.15,8.85
2018-12-15,16,15.0,,0.15,2.4
2018-12-16,4,15.0,,0.15,0.6
2018-12-17,74,15.0,,0.15,11.1
2018-12-18,64,15.0,,0.15,9.6
2018-12-19,52,15.0,,0.15,7.8
2018-12-20,39,15.0,,0.15,5.85
2018-12-21,85,15.0,,0.15,12.75
2018-12-22,29,15.0,,0.15,4.35
2018-12-23,21,15.0,,0.15,3.15
2018-12-24,37,15.0,,0.15,5.55
2018-12-25,23,15.0,,0.15,3.4499999999999997
2018-12-26,70,15.0,,0.15,10.5
2018-12-27,76,15.0,,0.15,11.4
2018-12-28,43,15.0,,0.15,6.45
2018-12-29,16,15.0,,0.15,2.4
2018-12-30,12,15.0,,0.15,1.7999999999999998
2018-12-31,55,15.0,,0.15,8.25
2019-01-01,5,23.0,False,0.23,1.1500000000000001
2019-01-02,19,23.0,,0.23,4.37
2019-01-03,31,23.0,,0.23,7.13
2019-01-04,33,23.0,,0.23,7.590000000000001
2019-01-05,16,23.0,,0.23,3.68
2019-01-06,2,23.0,,0.23,0.46
2019-01-07,27,23.0,,0.23,6.21
2019-01-08,36,23.0,,0.23,8.280000000000001
2019-01-09,38,23.0,,0.23,8.74
2019-01-10,43,23.0,,0.23,9.89
2019-01-11,32,23.0,,0.23,7.36
2019-01-12,10,23.0,,0.23,2.3000000000000003
2019-01-13,8,23.0,,0.23,1.84
2019-01-14,30,23.0,,0.23,6.9
2019-01-15,35,23.0,,0.23,8.05
2019-01-16,26,23.0,,0.23,5.98
2019-01-17,34,23.0,,0.23,7.82
2019-01-18,27,23.0,,0.23,6.21
2019-01-19,14,23.0,,0.23,3.22
2019-01-20,6,23.0,,0.23,1.3800000000000001
2019-01-21,8,23.0,,0.23,1.84
2019-01-22,24,23.0,,0.23,5.5200000000000005
2019-01-23,32,23.0,,0.23,7.36
2019-01-24,37,23.0,,0.23,8.51
2019-01-25,41,23.0,,0.23,9.43
2019-01-26,11,23.0,,0.23,2.5300000000000002
2019-01-27,6,23.0,,0.23,1.3800000000000001
2019-01-28,33,23.0,,0.23,7.590000000000001
2019-01-29,34,23.0,,0.23,7.82
2019-01-30,100,23.0,,0.23,23.0
2019-01-31,86,23.0,,0.23,19.78
2019-02-01,100,19.0,False,0.19,19.0
2019-02-02,23,19.0,,0.19,4.37
2019-02-03,19,19.0,,0.19,3.61
2019-02-04,57,19.0,,0.19,10.83
2019-02-05,55,19.0,,0.19,10.45
2019-02-06,59,19.0,,0.19,11.21
2019-02-07,33,19.0,,0.19,6.2700000000000005
2019-02-08,48,19.0,,0.19,9.120000000000001
2019-02-09,9,19.0,,0.19,1.71
2019-02-10,11,19.0,,0.19,2.09
2019-02-11,45,19.0,,0.19,8.55
2019-02-12,59,19.0,,0.19,11.21
2019-02-13,66,19.0,,0.19,12.540000000000001
2019-02-14,67,19.0,,0.19,12.73
2019-02-15,72,19.0,,0.19,13.68
2019-02-16,3,19.0,,0.19,0.5700000000000001
2019-02-17,11,19.0,,0.19,2.09
2019-02-18,12,19.0,,0.19,2.2800000000000002
2019-02-19,47,19.0,,0.19,8.93
2019-02-20,36,19.0,,0.19,6.84
2019-02-21,40,19.0,,0.19,7.6
2019-02-22,38,19.0,,0.19,7.22
2019-02-23,5,19.0,,0.19,0.95
2019-02-24,3,19.0,,0.19,0.5700000000000001
2019-02-25,66,19.0,,0.19,12.540000000000001
2019-02-26,43,19.0,,0.19,8.17
2019-02-27,64,19.0,,0.19,12.16
2019-02-28,45,19.0,,0.19,8.55
2019-03-01,61,19.0,False,0.19,11.59
2019-03-02,36,19.0,,0.19,6.84
2019-03-03,18,19.0,,0.19,3.42
2019-03-04,77,19.0,,0.19,14.63
2019-03-05,74,19.0,,0.19,14.06
2019-03-06,63,19.0,,0.19,11.97
2019-03-07,56,19.0,,0.19,10.64
2019-03-08,89,19.0,,0.19,16.91
2019-03-09,22,19.0,,0.19,4.18
2019-03-10,7,19.0,,0.19,1.33
2019-03-11,47,19.0,,0.19,8.93
2019-03-12,74,19.0,,0.19,14.06
2019-03-13,100,19.0,,0.19,19.0
2019-03-14,56,19.0,,0.19,10.64
2019-03-15,84,19.0,,0.19,15.96
2019-03-16,30,19.0,,0.19,5.7
2019-03-17,11,19.0,,0.19,2.09
2019-03-18,68,19.0,,0.19,12.92
2019-03-19,65,19.0,,0.19,12.35
2019-03-20,71,19.0,,0.19,13.49
2019-03-21,86,19.0,,0.19,16.34
2019-03-22,61,19.0,,0.19,11.59
2019-03-23,26,19.0,,0.19,4.94
2019-03-24,14,19.0,,0.19,2.66
2019-03-25,63,19.0,,0.19,11.97
2019-03-26,58,19.0,,0.19,11.02
2019-03-27,48,19.0,,0.19,9.120000000000001
2019-03-28,70,19.0,,0.19,13.3
2019-03-29,87,19.0,,0.19,16.53
2019-03-30,11,19.0,,0.19,2.09
2019-03-31,4,19.0,,0.19,0.76
2019-04-01,24,22.0,False,0.22,5.28
2019-04-02,27,22.0,,0.22,5.94
2019-04-03,26,22.0,,0.22,5.72
2019-04-04,26,22.0,,0.22,5.72
2019-04-05,25,22.0,,0.22,5.5
2019-04-06,7,22.0,,0.22,1.54
2019-04-07,5,22.0,,0.22,1.1
2019-04-08,27,22.0,,0.22,5.94
2019-04-09,28,22.0,,0.22,6.16
2019-04-10,18,22.0,,0.22,3.96
2019-04-11,29,22.0,,0.22,6.38
2019-04-12,19,22.0,,0.22,4.18
2019-04-13,3,22.0,,0.22,0.66
2019-04-14,10,22.0,,0.22,2.2
2019-04-15,23,22.0,,0.22,5.06
2019-04-16,20,22.0,,0.22,4.4
2019-04-17,31,22.0,,0.22,6.82
2019-04-18,36,22.0,,0.22,7.92
2019-04-19,20,22.0,,0.22,4.4
2019-04-20,5,22.0,,0.22,1.1
2019-04-21,2,22.0,,0.22,0.44
2019-04-22,47,22.0,,0.22,10.34
2019-04-23,30,22.0,,0.22,6.6
2019-04-24,100,22.0,,0.22,22.0
2019-04-25,66,22.0,,0.22,14.52
2019-04-26,51,22.0,,0.22,11.22
2019-04-27,12,22.0,,0.22,2.64
2019-04-28,14,22.0,,0.22,3.08
2019-04-29,38,22.0,,0.22,8.36
2019-04-30,50,22.0,,0.22,11.0
2019-05-01,100,18.0,False,0.18,18.0
2019-05-02,46,18.0,,0.18,8.28
2019-05-03,78,18.0,,0.18,14.04
2019-05-04,16,18.0,,0.18,2.88
2019-05-05,8,18.0,,0.18,1.44
2019-05-06,96,18.0,,0.18,17.28
2019-05-07,65,18.0,,0.18,11.7
2019-05-08,83,18.0,,0.18,14.94
2019-05-09,80,18.0,,0.18,14.399999999999999
2019-05-10,69,18.0,,0.18,12.42
2019-05-11,21,18.0,,0.18,3.78
2019-05-12,8,18.0,,0.18,1.44
2019-05-13,65,18.0,,0.18,11.7
2019-05-14,75,18.0,,0.18,13.5
2019-05-15,96,18.0,,0.18,17.28
2019-05-16,84,18.0,,0.18,15.12
2019-05-17,70,18.0,,0.18,12.6
2019-05-18,17,18.0,,0.18,3.06
2019-05-19,16,18.0,,0.18,2.88
2019-05-20,70,18.0,,0.18,12.6
2019-05-21,80,18.0,,0.18,14.399999999999999
2019-05-22,52,18.0,,0.18,9.36
2019-05-23,58,18.0,,0.18,10.44
2019-05-24,50,18.0,,0.18,9.0
2019-05-25,8,18.0,,0.18,1.44
2019-05-26,21,18.0,,0.18,3.78
2019-05-27,12,18.0,,0.18,2.16
2019-05-28,55,18.0,,0.18,9.9
2019-05-29,77,18.0,,0.18,13.86
2019-05-30,63,18.0,,0.18,11.34
2019-05-31,73,18.0,,0.18,13.139999999999999
2019-06-01,9,19.0,False,0.19,1.71
2019-06-02,0,19.0,,0.19,0.0
2019-06-03,32,19.0,,0.19,6.08
2019-06-04,53,19.0,,0.19,10.07
2019-06-05,71,19.0,,0.19,13.49
2019-06-06,49,19.0,,0.19,9.31
2019-06-07,58,19.0,,0.19,11.02
2019-06-08,18,19.0,,0.19,3.42
2019-06-09,12,19.0,,0.19,2.2800000000000002
2019-06-10,61,19.0,,0.19,11.59
2019-06-11,41,19.0,,0.19,7.79
2019-06-12,62,19.0,,0.19,11.78
2019-06-13,55,19.0,,0.19,10.45
2019-06-14,41,19.0,,0.19,7.79
2019-06-15,3,19.0,,0.19,0.5700000000000001
2019-06-16,0,19.0,,0.19,0.0
2019-06-17,59,19.0,,0.19,11.21
2019-06-18,51,19.0,,0.19,9.69
2019-06-19,63,19.0,,0.19,11.97
2019-06-20,100,19.0,,0.19,19.0
2019-06-21,69,19.0,,0.19,13.11
2019-06-22,15,19.0,,0.19,2.85
2019-06-23,6,19.0,,0.19,1.1400000000000001
2019-06-24,57,19.0,,0.19,10.83
2019-06-25,47,19.0,,0.19,8.93
2019-06-26,72,19.0,,0.19,13.68
2019-06-27,49,19.0,,0.19,9.31
2019-06-28,58,19.0,,0.19,11.02
2019-06-29,6,19.0,,0.19,1.1400000000000001
2019-06-30,9,19.0,,0.19,1.71
2019-07-01,30,23.0,False,0.23,6.9
2019-07-02,28,23.0,,0.23,6.44
2019-07-03,19,23.0,,0.23,4.37
2019-07-04,2,23.0,,0.23,0.46
2019-07-05,25,23.0,,0.23,5.75
2019-07-06,7,23.0,,0.23,1.61
2019-07-07,3,23.0,,0.23,0.6900000000000001
2019-07-08,24,23.0,,0.23,5.5200000000000005
2019-07-09,28,23.0,,0.23,6.44
2019-07-10,39,23.0,,0.23,8.97
2019-07-11,46,23.0,,0.23,10.58
2019-07-12,37,23.0,,0.23,8.51
2019-07-13,9,23.0,,0.23,2.0700000000000003
2019-07-14,6,23.0,,0.23,1.3800000000000001
2019-07-15,17,23.0,,0.23,3.91
2019-07-16,27,23.0,,0.23,6.21
2019-07-17,32,23.0,,0.23,7.36
2019-07-18,31,23.0,,0.23,7.13
2019-07-19,24,23.0,,0.23,5.5200000000000005
2019-07-20,9,23.0,,0.23,2.0700000000000003
2019-07-21,5,23.0,,0.23,1.1500000000000001
2019-07-22,41,23.0,,0.23,9.43
2019-07-23,41,23.0,,0.23,9.43
2019-07-24,93,23.0,,0.23,21.39
2019-07-25,100,23.0,,0.23,23.0
2019-07-26,60,23.0,,0.23,13.8
2019-07-27,19,23.0,,0.23,4.37
2019-07-28,6,23.0,,0.23,1.3800000000000001
2019-07-29,37,23.0,,0.23,8.51
2019-07-30,50,23.0,,0.23,11.5
2019-07-31,50,23.0,,0.23,11.5
2019-08-01,100,18.0,False,0.18,18.0
2019-08-02,67,18.0,,0.18,12.059999999999999
2019-08-03,25,18.0,,0.18,4.5
2019-08-04,11,18.0,,0.18,1.98
2019-08-05,68,18.0,,0.18,12.24
2019-08-06,62,18.0,,0.18,11.16
2019-08-07,72,18.0,,0.18,12.959999999999999
2019-08-08,71,18.0,,0.18,12.78
2019-08-09,53,18.0,,0.18,9.54
2019-08-10,11,18.0,,0.18,1.98
2019-08-11,4,18.0,,0.18,0.72
2019-08-12,73,18.0,,0.18,13.139999999999999
2019-08-13,73,18.0,,0.18,13.139999999999999
2019-08-14,59,18.0,,0.18,10.62
2019-08-15,48,18.0,,0.18,8.64
2019-08-16,63,18.0,,0.18,11.34
2019-08-17,14,18.0,,0.18,2.52
2019-08-18,21,18.0,,0.18,3.78
2019-08-19,44,18.0,,0.18,7.92
2019-08-20,47,18.0,,0.18,8.459999999999999
2019-08-21,79,18.0,,0.18,14.219999999999999
2019-08-22,35,18.0,,0.18,6.3
2019-08-23,62,18.0,,0.18,11.16
2019-08-24,21,18.0,,0.18,3.78
2019-08-25,10,18.0,,0.18,1.7999999999999998
2019-08-26,46,18.0,,0.18,8.28
2019-08-27,60,18.0,,0.18,10.799999999999999
2019-08-28,58,18.0,,0.18,10.44
2019-08-29,84,18.0,,0.18,15.12
2019-08-30,39,18.0,,0.18,7.02
2019-08-31,16,18.0,,0.18,2.88
2019-09-01,5,14.0,False,0.14,0.7000000000000001
2019-09-02,13,14.0,,0.14,1.8200000000000003
2019-09-03,46,14.0,,0.14,6.44
