date,INTC_unscaled,INTC_monthly,isPartial,scale,INTC
2017-04-04,31,35.0,,0.35,10.85
2017-04-05,25,35.0,,0.35,8.75
2017-04-06,32,35.0,,0.35,11.2
2017-04-07,19,35.0,,0.35,6.6499999999999995
2017-04-08,7,35.0,,0.35,2.4499999999999997
2017-04-09,2,35.0,,0.35,0.7
2017-04-10,25,35.0,,0.35,8.75
2017-04-11,20,35.0,,0.35,7.0
2017-04-12,20,35.0,,0.35,7.0
2017-04-13,17,35.0,,0.35,5.949999999999999
2017-04-14,11,35.0,,0.35,3.8499999999999996
2017-04-15,7,35.0,,0.35,2.4499999999999997
2017-04-16,8,35.0,,0.35,2.8
2017-04-17,20,35.0,,0.35,7.0
2017-04-18,26,35.0,,0.35,9.1
2017-04-19,20,35.0,,0.35,7.0
2017-04-20,15,35.0,,0.35,5.25
2017-04-21,27,35.0,,0.35,9.45
2017-04-22,7,35.0,,0.35,2.4499999999999997
2017-04-23,11,35.0,,0.35,3.8499999999999996
2017-04-24,33,35.0,,0.35,11.549999999999999
2017-04-25,49,35.0,,0.35,17.15
2017-04-26,43,35.0,,0.35,15.049999999999999
2017-04-27,100,35.0,,0.35,35.0
2017-04-28,72,35.0,,0.35,25.2
2017-04-29,16,35.0,,0.35,5.6
2017-04-30,7,35.0,,0.35,2.4499999999999997
2017-05-01,77,34.0,False,0.34,26.180000000000003
2017-05-02,95,34.0,,0.34,32.300000000000004
2017-05-03,100,34.0,,0.34,34.0
2017-05-04,60,34.0,,0.34,20.400000000000002
2017-05-05,76,34.0,,0.34,25.840000000000003
2017-05-06,20,34.0,,0.34,6.800000000000001
2017-05-07,18,34.0,,0.34,6.12
2017-05-08,67,34.0,,0.34,22.78
2017-05-09,58,34.0,,0.34,19.720000000000002
2017-05-10,68,34.0,,0.34,23.12
2017-05-11,61,34.0,,0.34,20.740000000000002
2017-05-12,51,34.0,,0.34,17.34
2017-05-13,15,34.0,,0.34,5.1000000000000005
2017-05-14,13,34.0,,0.34,4.42
