date,ZM_unscaled,ZM_monthly,isPartial,scale,ZM
2017-04-24,32,3.0,,0.03,0.96
2017-04-25,65,3.0,,0.03,1.95
2017-04-26,64,3.0,,0.03,1.92
2017-04-27,65,3.0,,0.03,1.95
2017-04-28,50,3.0,,0.03,1.5
2017-04-29,60,3.0,,0.03,1.7999999999999998
2017-04-30,30,3.0,,0.03,0.8999999999999999
2017-05-01,54,4.0,False,0.04,2.16
2017-05-02,54,4.0,,0.04,2.16
2017-05-03,55,4.0,,0.04,2.2
2017-05-04,57,4.0,,0.04,2.2800000000000002
2017-05-05,19,4.0,,0.04,0.76
2017-05-06,0,4.0,,0.04,0.0
2017-05-07,46,4.0,,0.04,1.84
2017-05-08,56,4.0,,0.04,2.24
2017-05-09,37,4.0,,0.04,1.48
2017-05-10,37,4.0,,0.04,1.48
2017-05-11,10,4.0,,0.04,0.4
2017-05-12,30,4.0,,0.04,1.2
2017-05-13,12,4.0,,0.04,0.48
2017-05-14,84,4.0,,0.04,3.36
2017-05-15,20,4.0,,0.04,0.8
2017-05-16,50,4.0,,0.04,2.0
2017-05-17,100,4.0,,0.04,4.0
2017-05-18,80,4.0,,0.04,3.2
2017-05-19,72,4.0,,0.04,2.88
2017-05-20,37,4.0,,0.04,1.48
2017-05-21,37,4.0,,0.04,1.48
2017-05-22,40,4.0,,0.04,1.6
2017-05-23,39,4.0,,0.04,1.56
2017-05-24,61,4.0,,0.04,2.44
2017-05-25,81,4.0,,0.04,3.24
2017-05-26,22,4.0,,0.04,0.88
2017-05-27,13,4.0,,0.04,0.52
2017-05-28,77,4.0,,0.04,3.08
2017-05-29,12,4.0,,0.04,0.48
2017-05-30,60,4.0,,0.04,2.4
2017-05-31,79,4.0,,0.04,3.16
2017-06-01,75,4.0,False,0.04,3.0
2017-06-02,79,4.0,,0.04,3.16
2017-06-03,68,4.0,,0.04,2.72
2017-06-04,99,4.0,,0.04,3.96
2017-06-05,64,4.0,,0.04,2.56
2017-06-06,99,4.0,,0.04,3.96
2017-06-07,100,4.0,,0.04,4.0
2017-06-08,37,4.0,,0.04,1.48
2017-06-09,68,4.0,,0.04,2.72
2017-06-10,67,4.0,,0.04,2.68
2017-06-11,34,4.0,,0.04,1.36
2017-06-12,9,4.0,,0.04,0.36
2017-06-13,27,4.0,,0.04,1.08
2017-06-14,27,4.0,,0.04,1.08
2017-06-15,76,4.0,,0.04,3.04
2017-06-16,29,4.0,,0.04,1.16
2017-06-17,34,4.0,,0.04,1.36
